Exoplanet Archive Disposition,Orbital Period [days],Disposition Score,Planet-Star Radius Ratio,Planetary Radius [Earth radii],Orbit Semi-Major Axis [au],Inclination [deg],Equilibrium Temperature [K],Insolation Flux [Earth flux],Stellar Effective Temperature [K],Stellar Surface Gravity [log10(cm/s**2)],Stellar Metallicity [dex],Stellar Radius [Solar radii],Stellar Mass [Solar mass],Eccentricity,Transit Depth [ppm],Transit Duration [hrs],Transit Signal-to-Noise,Number of Transits,Not Transit-Like False Positive Flag,Stellar Eclipse False Positive Flag,Centroid Offset False Positive Flag,Ephemeris Match Indicates Contamination False Positive Flag
FALSE POSITIVE,181.8521773,0.0,0.419687,46.38,0.6523,89.64,333.0,2.91,6063.0,4.476,0.07,1.012,1.117,0.0,27559.0,5.7725,293.8,7.0,0,1,0,0
FALSE POSITIVE,223.1127475,0.0,0.40175,46.33,0.7194,89.36,332.0,2.87,6211.0,4.389,-0.28,1.056,0.993,0.0,11539.0,8.9683,224.5,6.0,0,1,0,0
FALSE POSITIVE,15.64064161,0.0,0.51438,77.18,0.134,88.86,921.0,169.73,6517.0,4.279,0.14,1.374,1.313,0.0,273310.0,6.4524,206.3,30.0,0,1,0,0
CONFIRMED,6.8873113,0.999,0.00857,0.72,0.0657,88.66,788.0,90.91,5208.0,4.563,-0.14,0.772,0.796,0.0,85.3,2.214,8.1,189.0,0,0,0,0
FALSE POSITIVE,1.103978,0.0,0.021076,102.89177806760134,0.0851,88.5,1085.3858276274318,105.8,5706.8232800782525,4.438,-0.1,1.0,0.974,0.0,421.1,0.74,23.0,562.0,0,1,1,0
FALSE POSITIVE,43.8496474,0.113,0.01893,21.42,0.2921,89.99,1286.0,645.68,4893.0,2.644,-0.3,10.363,1.725,0.0,452.3,2.217,8.3,31.0,1,0,0,0
FALSE POSITIVE,0.752158047,0.0,0.439788,106.66,0.0175,61.04,2869.0,15978.36,5770.0,3.844,0.04,2.221,1.255,0.0,37879.0,2.42733,510.0,824.0,0,1,0,0
FALSE POSITIVE,3.796488133,0.0,0.367269,40.83,0.049,39.78,1233.0,547.94,6137.0,4.46,-0.06,1.018,1.086,0.0,3007.6,11.0659,193.4,302.0,0,1,1,1
CANDIDATE,17.7476059,0.0,0.277893,146.63,0.1904,80.09,1998.0,3768.37,8992.0,3.535,0.07,4.832,2.922,0.0,877.0,5.066,7.6,63.0,0,0,0,0
FALSE POSITIVE,1.233076007,0.0,0.351801,31.39,0.0218,14.35,1513.0,1237.97,5602.0,4.571,-0.16,0.817,0.913,0.0,1392.4,12.506,129.3,1087.0,0,0,1,0
FALSE POSITIVE,21.5135234,0.0,1.475099,534.47,0.165,20.29,1006.0,242.54,5088.0,3.508,-0.14,3.318,1.294,0.0,1583.8,77.983,171.5,31.0,0,1,0,0
FALSE POSITIVE,19.4444573,0.002,0.012987,1.53,0.1477,88.29,749.0,74.47,6278.0,4.425,-0.06,1.081,1.132,0.0,182.3,5.509,7.1,59.0,1,0,0,0
FALSE POSITIVE,1.1910489,0.0,0.300822,22.76,0.0192,60.51,1348.0,781.99,5089.0,4.58,-0.52,0.693,0.666,0.0,1391.1,1.3738,46.1,1123.0,0,1,0,0
FALSE POSITIVE,0.546248198,0.0,0.496587,54.23,0.0131,68.45,2227.0,5820.72,5780.0,4.438,0.0,1.0,1.0,0.0,114530.0,2.1081,263.1,1136.0,0,1,0,0
CANDIDATE,2.18565886,0.691,0.005433,0.44,0.0307,87.14,1087.0,329.49,4997.0,4.598,0.0,0.746,0.806,0.0,35.6,1.966,11.1,582.0,0,0,0,0
FALSE POSITIVE,1.811966339,0.998,0.260358,95.19,0.0343,33.66,2573.0,10360.38,5904.0,3.602,0.2,3.348,1.635,0.0,408.1,3.792,36.3,746.0,0,1,1,0
FALSE POSITIVE,66.1539783,0.0,0.088866,9.69,0.3283,89.1,468.0,11.3,6077.0,4.471,-0.04,0.999,1.077,0.0,6951.0,5.896,57.7,9.0,0,1,0,0
FALSE POSITIVE,158.3226379,0.0,0.406775,25.41,0.4719,89.71,211.0,0.47,4340.0,4.67,-0.58,0.572,0.557,0.0,4863.0,2.1881,34.5,6.0,0,1,0,0
CONFIRMED,3.93276627,1.0,0.014124,1.5,0.047,87.81,1140.0,399.84,5688.0,4.415,-0.12,0.971,0.895,0.0,234.9,2.9403,30.7,324.0,0,0,0,0
CONFIRMED,198.680859,0.998,0.025242,2.79,0.6364,89.67,297.0,1.83,5330.0,4.366,0.18,1.013,0.869,0.0,645.4,8.282,16.6,7.0,0,0,0,0
FALSE POSITIVE,1.592634161,0.0,0.519012,100.2,0.0292,64.63,2255.0,6128.09,6574.0,4.061,-0.22,1.768,1.317,0.0,155160.0,8.9488,1207.6,389.0,0,1,0,0
FALSE POSITIVE,3.31577795,0.009,0.299531,27.77,0.0415,84.7,1104.0,349.78,5528.0,4.516,-0.14,0.849,0.864,0.0,94567.0,4.2349,124.6,101.0,0,1,0,0
FALSE POSITIVE,2.990252395,0.0,0.822802,89.85,0.0407,75.36,1264.0,603.02,5780.0,4.438,0.0,1.0,1.0,0.0,216440.0,7.8462,541.7,210.0,0,1,0,0
FALSE POSITIVE,2.08043378,0.0,4.177551,510.48,0.0334,19.79,1629.0,1661.27,6377.0,4.399,-0.1,1.119,1.147,0.0,6861.2,7.708,289.1,645.0,0,1,1,1
FALSE POSITIVE,4.944046127,0.0,0.49712,54.29,0.0569,84.28,1069.0,308.53,5780.0,4.438,0.0,1.0,1.0,0.0,112500.0,4.50334,537.2,123.0,0,1,0,0
FALSE POSITIVE,4.464565251,0.0,0.463874,43.21,0.0522,83.15,1024.0,259.97,5743.0,4.553,-0.14,0.853,0.949,0.0,74112.0,4.0221,286.4,140.0,0,1,0,0
FALSE POSITIVE,1.523298835,0.0,0.411842,38.95,0.0241,81.62,1404.0,919.42,5311.0,4.469,-0.08,0.866,0.804,0.0,195070.0,5.9083,174.4,281.0,0,1,0,0
FALSE POSITIVE,3.539631353,0.0,0.137045,39.34,0.0514,79.03,2214.0,5689.3,7021.0,3.759,-0.46,2.629,1.447,0.0,1229.7,1.5372,163.5,267.0,0,1,0,0
FALSE POSITIVE,6.195861785,0.0,2.43178,215.89,0.0638,72.61,883.0,143.74,5608.0,4.573,-0.18,0.813,0.909,0.0,3509.8,2.6078,83.5,180.0,0,1,1,0
FALSE POSITIVE,0.566805514,0.0,0.008194,0.82,0.0127,88.7,1920.0,3193.9,5115.0,4.439,0.28,0.917,0.842,0.0,85.3,4.367,25.1,2366.0,1,0,1,1
FALSE POSITIVE,27.961084,0.0,0.144652,21.5,0.1916,87.96,796.0,94.86,6770.0,4.249,-0.36,1.361,1.204,0.0,6268.2,3.8741,106.0,4.0,0,1,0,0
FALSE POSITIVE,186.5168116,0.0,0.114852,37.5,0.7185,89.77,452.0,9.83,5018.0,3.639,0.28,2.99,1.421,0.0,5752.4,3.1968,126.9,5.0,0,1,0,0
FALSE POSITIVE,197.1455327,0.521,0.341513,72.16,0.7904,89.79,498.0,14.53,7214.0,4.093,0.24,1.935,1.69,0.0,5664.0,2.1145,56.8,6.0,0,1,0,0
FALSE POSITIVE,0.532087933,0.0,0.685266,74.83,0.0129,82.81,2247.0,6002.61,5780.0,4.438,0.0,1.0,1.0,0.0,510370.0,3.45028,1069.5,0.0,1,0,0,0
FALSE POSITIVE,3.204222652,0.0,0.291035,23.55,0.0397,63.81,979.0,217.46,5139.0,4.609,-0.14,0.741,0.825,0.0,898.4,2.7952,45.5,418.0,0,1,1,0
FALSE POSITIVE,0.687898282,0.0,0.509016,55.58,0.0153,81.08,2062.0,4267.13,5780.0,4.438,0.0,1.0,1.0,0.0,293500.0,3.96401,1571.6,0.0,1,0,0,0
FALSE POSITIVE,2.178154774,0.0,0.250308,19.46,0.0303,45.05,1180.0,457.16,5515.0,4.624,-0.54,0.712,0.785,0.0,662.6,3.5302,89.2,616.0,0,1,1,1
FALSE POSITIVE,0.99466172,0.0,0.285559,31.84,0.0182,51.84,1898.0,3078.85,5750.0,4.332,-0.38,1.021,0.816,0.0,1370.5,1.576,21.5,1351.0,0,1,1,0
FALSE POSITIVE,359.00688,0.0,0.313721,28.57,0.9456,87.65,237.0,0.74,5715.0,4.537,-0.3,0.834,0.873,0.0,2015.8,32.16,35.3,4.0,1,0,1,1
CONFIRMED,1.138548215,0.997,0.007741,1.45,0.022,81.07,2537.0,9805.45,6520.0,4.01,-0.5,1.713,1.094,0.0,66.2,2.1482,31.5,1178.0,0,0,0,0
FALSE POSITIVE,121.0598037,0.0,0.253653,1680.99,0.5714,89.36,1792.0,2437.81,3942.0,1.101,-0.18,60.688,1.696,0.0,1563.0,3.112,16.6,24.0,0,1,1,0
FALSE POSITIVE,0.721335207,0.0,0.005213,0.54,0.0158,88.41,2162.0,5166.26,6328.0,4.489,-0.44,0.948,1.012,0.0,31.8,1.509,12.0,1857.0,0,0,1,0
FALSE POSITIVE,3.28274272,0.0,0.020689,1.85,0.0408,44.1,1136.0,392.7,5741.0,4.533,-0.42,0.82,0.837,0.0,292.8,8.9,68.2,413.0,1,0,1,0
FALSE POSITIVE,1.231361934,0.0,0.026429,2.93,0.0217,31.76,1839.0,2707.51,6095.0,4.378,-0.48,1.016,0.9,0.0,471.0,5.433,94.7,1091.0,0,1,1,1
CONFIRMED,89.7224125,0.977,0.016065,2.21,0.394,89.02,508.0,15.69,6429.0,4.241,-0.46,1.262,1.011,0.0,263.7,10.963,25.6,13.0,0,0,0,0
CONFIRMED,7.12766417,0.989,0.013519,1.21,0.0692,89.67,784.0,89.24,5159.0,4.548,0.16,0.821,0.868,0.0,229.2,2.491,16.0,187.0,0,0,0,0
FALSE POSITIVE,2.080431782,0.0,1.496806,345.7,0.0387,81.6,2719.0,12956.98,8344.0,4.04,-0.26,2.115,1.79,0.0,894200.0,7.4997,1585.2,0.0,0,1,0,0
CANDIDATE,3.52364689,0.974,0.007911,0.94,0.0469,89.97,1330.0,739.8,6269.0,4.412,-0.08,1.085,1.106,0.0,74.2,3.439,8.5,382.0,0,0,0,0
FALSE POSITIVE,1.157804607,0.0,0.759009,118.11,0.0231,85.71,2255.0,6116.99,6510.0,4.219,-0.12,1.425,1.228,0.0,605710.0,4.66082,1837.9,0.0,1,0,0,0
FALSE POSITIVE,19.979098,0.0,0.186854,22.98,0.1399,87.8,739.0,70.59,5907.0,4.296,-0.26,1.126,0.915,0.0,38418.0,10.5638,449.1,30.0,0,1,0,0
FALSE POSITIVE,1.433262401,0.0,0.637923,136.47,0.0281,82.65,2691.0,12427.14,7311.0,4.013,-0.4,1.959,1.442,0.0,428560.0,6.2205,599.8,0.0,0,1,0,0
FALSE POSITIVE,23.8706941,0.0,0.389546,49.6,0.1628,87.23,711.0,60.38,6022.0,4.308,-0.1,1.166,1.007,0.0,6386.3,3.4812,114.8,4.0,0,1,0,0
CANDIDATE,4.78850084,0.863,0.007424,0.63,0.0515,88.81,889.0,147.95,5208.0,4.563,-0.14,0.772,0.796,0.0,66.5,2.099,7.2,251.0,0,0,0,0
FALSE POSITIVE,0.566769068,0.0,0.006355,1.06,0.0127,52.49,2661.0,11897.94,5496.0,3.998,-0.32,1.533,0.853,0.0,40.0,3.011,14.9,2358.0,1,0,1,1
FALSE POSITIVE,6.2820426,0.0,0.057292,23.76,0.0797,66.52,2021.0,3938.81,6635.0,3.511,-0.32,3.798,1.705,0.0,1413.0,7.941,103.3,350.0,1,0,0,0
FALSE POSITIVE,0.97430309,0.0,0.438332,37.62,0.0183,68.71,1643.0,1728.18,5688.0,4.583,-0.36,0.786,0.87,0.0,34976.0,2.1088,224.0,776.0,0,1,0,0
CANDIDATE,141.73403059,0.0,0.102722,10.3,0.5185,89.88,329.0,2.77,5606.0,4.478,0.0,0.918,0.924,0.0,7736.4,1.5851,157.4,8.0,0,0,0,0
FALSE POSITIVE,119.686505,0.0,0.25255,23.0,0.4546,81.96,341.0,3.21,5715.0,4.537,-0.3,0.834,0.873,0.0,842.7,29.33,27.1,8.0,1,0,1,1
FALSE POSITIVE,53.556625,0.0,0.066604,26.31,0.3551,86.7,1076.0,317.03,7643.0,3.639,0.0,3.618,2.082,0.0,3963.0,16.18,22.1,24.0,1,0,0,0
CANDIDATE,433.220461,0.323,0.024338,2.07,1.0084,89.99,203.0,0.4,5232.0,4.519,-0.32,0.777,0.727,0.0,725.1,2.725,9.5,4.0,0,0,0,0
CONFIRMED,1.210693626,1.0,0.01198,0.99,0.0203,83.56,1351.0,784.51,5014.0,4.559,-0.1,0.756,0.756,0.0,159.1,1.434,41.6,881.0,0,0,0,0
CONFIRMED,1.090011003,0.998,0.012356,1.04,0.0197,83.71,1402.0,911.28,5081.0,4.596,0.12,0.77,0.864,0.0,174.8,1.5,12.6,1167.0,0,0,0,0
CANDIDATE,18.2572722,0.999,0.011442,0.94,0.1236,89.37,547.0,21.16,5014.0,4.559,-0.1,0.756,0.756,0.0,157.5,3.434,17.3,59.0,0,0,0,0
CONFIRMED,34.2115022,0.998,0.014665,1.15,0.1894,89.96,427.0,7.82,4955.0,4.61,-0.1,0.721,0.774,0.0,273.8,4.947,20.7,39.0,0,0,0,0
FALSE POSITIVE,7.061149921,0.0,0.501653,43.71,0.0683,87.3,842.0,118.87,5585.0,4.564,-0.28,0.798,0.852,0.0,131260.0,3.33515,631.5,92.0,0,1,0,0
FALSE POSITIVE,2.682767439,0.0,0.647193,70.67,0.0379,85.88,1310.0,695.41,5780.0,4.438,0.0,1.0,1.0,0.0,394410.0,4.58143,508.4,235.0,0,1,0,0
FALSE POSITIVE,3.711012492,0.0,0.379062,46.24,0.0478,74.36,1310.0,695.05,6141.0,4.365,-0.06,1.117,1.051,0.0,7559.8,3.3394,257.4,360.0,0,1,1,1
FALSE POSITIVE,1.780982447,0.0,0.55359,60.45,0.0288,89.98,1502.0,1204.3,5780.0,4.438,0.0,1.0,1.0,0.0,357700.0,3.4297,324.0,349.0,0,1,1,0
FALSE POSITIVE,1.815632406,0.0,0.413671,108.78,0.0395,75.41,3429.0,32652.55,9954.0,4.07,0.07,2.408,2.485,0.0,61574.0,3.35773,1413.9,186.0,0,1,0,0
FALSE POSITIVE,205.5833309,0.0,0.427207,42.69,0.6826,89.64,323.0,2.58,6328.0,4.516,-0.5,0.915,1.0,0.0,24872.0,6.0353,216.1,7.0,0,1,0,0
FALSE POSITIVE,4.309067482,0.0,1.176969,101.41,0.0474,81.32,882.0,142.6,4897.0,4.526,0.08,0.789,0.761,0.0,23647.0,2.21,82.0,137.0,0,1,0,0
FALSE POSITIVE,36.4721523,0.0,0.007177,0.7,0.2145,89.41,527.0,18.29,5853.0,4.529,-0.1,0.895,0.99,0.0,52.6,2.673,7.7,35.0,0,0,1,1
FALSE POSITIVE,111.0396205,0.0,0.101402,8.6,0.4038,87.89,335.0,2.97,5470.0,4.509,-0.58,0.777,0.71,0.0,9356.2,25.751,201.9,12.0,0,1,1,0
FALSE POSITIVE,3.187087241,0.001,0.359353,928.96,0.0598,80.61,4037.0,62743.06,4599.0,2.137,0.07,23.673,2.799,0.0,129090.0,7.2897,197.0,164.0,0,1,0,0
FALSE POSITIVE,1.023470248,0.0,0.919362,100.39,0.0199,72.05,1807.0,2522.39,5780.0,4.438,0.0,1.0,1.0,0.0,129530.0,2.3804,262.2,607.0,0,1,0,0
FALSE POSITIVE,0.875267982,0.0,0.399678,39.19,0.0162,64.08,1910.0,3157.34,5821.0,4.402,-0.74,0.898,0.742,0.0,11701.0,1.6038,44.9,648.0,0,1,0,0
FALSE POSITIVE,5.55260695,0.0,0.209409,2674.69,0.0601,68.53,6436.0,404932.04,3306.0,0.273,0.02,116.965,0.935,0.0,727.6,4.1178,60.7,114.0,0,1,0,0
FALSE POSITIVE,2.347479696,0.0,0.486841,60.5,0.034,44.47,1502.0,1207.51,5891.0,4.305,-0.14,1.138,0.953,0.0,81996.0,26.25,261.1,573.0,1,0,0,1
FALSE POSITIVE,1.13353095,0.0,0.003967,0.49,0.0216,87.59,2006.0,3840.87,6318.0,4.36,-0.18,1.121,1.046,0.0,18.5,3.17,11.1,1187.0,0,1,0,1
FALSE POSITIVE,0.890745373,0.005,0.338117,36.92,0.0182,82.06,1892.0,3015.62,5780.0,4.438,0.0,1.0,1.0,0.0,120030.0,1.9215,239.6,702.0,0,1,1,1
CONFIRMED,440.7843755,0.0,0.047554,7.23,1.1455,89.84,308.0,2.14,6340.0,4.163,-0.38,1.393,1.031,0.0,2579.0,21.693,181.0,4.0,0,0,0,0
FALSE POSITIVE,2.723858181,0.0,0.089031,7.13,0.0344,83.95,900.0,154.53,4416.0,4.57,0.4,0.733,0.728,0.0,5497.0,1.4313,23.8,244.0,0,1,0,0
FALSE POSITIVE,0.635441862,0.0,0.515605,56.3,0.0145,74.39,2118.0,4750.98,5780.0,4.438,0.0,1.0,1.0,0.0,147610.0,1.9827,317.1,978.0,1,0,0,0
FALSE POSITIVE,3.255189932,0.0,0.010158,1.39,0.0427,86.93,1390.0,880.52,5807.0,4.23,-0.02,1.256,0.977,0.0,119.2,2.7117,38.3,414.0,0,1,1,0
FALSE POSITIVE,2.531140101,0.0,0.392165,32.12,0.0342,29.52,1100.0,346.06,5325.0,4.607,-0.22,0.75,0.84,0.0,11786.0,20.399,304.2,458.0,0,1,1,1
CONFIRMED,0.938750221,1.0,0.01514,1.46,0.0185,89.86,1676.0,1874.28,5497.0,4.527,0.16,0.886,0.964,0.0,280.7,1.3568,47.4,1427.0,0,0,0,0
FALSE POSITIVE,2.992704682,0.0,0.018393,7.86,0.0491,87.41,2328.0,6932.19,5908.0,3.497,0.12,3.915,1.755,0.0,361.1,1.2585,39.9,448.0,0,1,1,0
FALSE POSITIVE,6.12810722,0.0,0.217095,39.52,0.0744,79.36,1513.0,1237.9,7245.0,4.158,-0.14,1.667,1.46,0.0,2336.0,2.824,17.5,216.0,0,1,0,0
FALSE POSITIVE,2.115511511,0.0,0.500992,36.16,0.0281,50.75,897.0,152.34,4188.0,4.615,0.18,0.661,0.656,0.0,25805.0,8.5116,153.3,537.0,0,1,1,1
FALSE POSITIVE,2.446736567,0.0,0.654961,71.52,0.0356,85.43,1351.0,788.17,5780.0,4.438,0.0,1.0,1.0,0.0,415860.0,5.0201,1037.3,256.0,0,1,0,0
FALSE POSITIVE,21.3779536,0.0,0.455185,173.18,0.1447,90.0,1062.0,300.32,4905.0,3.3,-0.24,3.484,0.883,0.0,255240.0,24.872,101.9,0.0,0,1,0,0
FALSE POSITIVE,4.350460215,0.0,3.447527,533.08,0.0552,77.61,1472.0,1107.34,6585.0,4.208,-0.3,1.416,1.185,0.0,50424.0,2.5276,247.2,143.0,0,1,0,0
FALSE POSITIVE,22.77194512,0.0,0.500445,251.93,0.1468,84.78,1254.0,584.54,5073.0,3.02,-0.76,4.61,0.812,0.0,30246.0,10.1995,208.6,47.0,0,1,1,1
CONFIRMED,67.844689,0.808,0.013389,2.65,0.3473,89.49,592.0,29.08,5878.0,4.005,0.24,1.812,1.212,0.0,211.2,11.757,18.9,22.0,0,0,0,0
CONFIRMED,27.3214242,1.0,0.022773,3.61,0.1777,85.39,705.0,58.35,5592.0,4.115,0.16,1.451,1.0,0.0,279.6,4.836,14.9,46.0,0,0,0,0
FALSE POSITIVE,9.84883968,0.0,0.443343,63.42,0.0955,82.49,1134.0,390.19,6938.0,4.281,-0.44,1.31,1.198,0.0,22012.0,5.7425,236.6,25.0,0,1,0,0
FALSE POSITIVE,10.23335969,0.0,0.021076,102.89177806760134,0.0851,88.5,1085.3858276274318,141.6,5706.8232800782525,4.438,-0.1,1.0,0.974,0.0,421.1,7.55,23.0,132.0,1,0,0,0
FALSE POSITIVE,227.6625222,0.0,0.402352,44.24,0.7201,89.64,319.0,2.46,6124.0,4.414,-0.34,1.007,0.959,0.0,13895.0,5.5072,227.5,6.0,0,1,0,0
FALSE POSITIVE,1.06100873,0.0,0.088429,9.14,0.0193,65.89,1568.0,1434.99,5080.0,4.417,0.44,0.947,0.855,0.0,6367.1,2.6715,174.9,1074.0,0,1,1,1
FALSE POSITIVE,0.623393802,0.0,0.404339,28.21,0.0123,68.18,1379.0,849.08,4330.0,4.628,-0.14,0.639,0.632,0.0,30192.0,1.40392,867.8,1680.0,0,1,0,0
CONFIRMED,0.65355361,0.761,0.318427,22.95,0.0129,50.98,1437.0,1004.07,4550.0,4.622,-0.18,0.66,0.666,0.0,4595.9,1.63,217.4,2040.0,0,0,0,0
CONFIRMED,2.3702932,1.0,0.013622,1.29,0.0344,89.98,1256.0,588.1,5668.0,4.545,-0.02,0.868,0.963,0.0,224.8,1.666,7.0,348.0,0,0,0,0
FALSE POSITIVE,0.566793534,0.0,0.008135,122.64,0.0146,86.99,14667.0,10947554.55,3420.0,0.269,-0.18,138.056,1.291,0.0,92.4,4.714,40.4,2371.0,0,1,0,1
FALSE POSITIVE,1.873380717,0.0,0.702166,89.79,0.0294,84.05,1669.0,1830.27,5992.0,4.283,-0.22,1.171,0.96,0.0,538720.0,10.1083,1513.7,422.0,0,1,0,0
FALSE POSITIVE,1.87337894,0.0,0.081812,51.11,0.0292,49.91,2925.0,17342.01,4740.0,2.9,-0.1,5.721,0.949,0.0,5444.0,9.1328,223.1,725.0,0,1,1,1
FALSE POSITIVE,7.50023955,0.0,0.209878,21.06,0.0754,72.99,901.0,155.6,5849.0,4.517,-0.02,0.919,1.014,0.0,273.2,2.916,29.0,143.0,0,1,1,0
FALSE POSITIVE,23.6270348,0.0,0.231978,21.71,0.1499,82.94,560.0,23.17,5305.0,4.477,-0.08,0.857,0.805,0.0,8433.0,11.481,78.4,25.0,0,1,0,0
FALSE POSITIVE,0.716709897,0.0,0.222864,66.73,0.0146,62.96,3124.0,22605.13,5173.0,3.471,-0.72,2.742,0.811,0.0,932.5,0.7466,47.6,1865.0,1,0,0,0
FALSE POSITIVE,2.248063246,0.0,0.250172,30.38,0.0353,34.85,1566.0,1421.38,6325.0,4.409,-0.04,1.112,1.157,0.0,631.7,5.1297,87.9,475.0,0,1,1,1
FALSE POSITIVE,63.3278636,0.0,0.095439,54.17,0.3047,89.99,896.0,152.49,4919.0,2.979,-0.38,5.198,0.938,0.0,11515.0,47.0744,619.6,23.0,1,0,0,0
CONFIRMED,219.3215562,1.0,0.055313,6.11,0.7391,89.9,313.0,2.27,6063.0,4.476,0.07,1.012,1.117,0.0,3628.7,12.4124,93.8,5.0,0,0,0,0
FALSE POSITIVE,245.4382021,0.0,0.177328,19.17,0.731,89.28,289.0,1.66,5637.0,4.383,-0.14,0.99,0.866,0.0,11312.0,14.502,844.7,6.0,0,1,0,0
FALSE POSITIVE,178.4129899,0.0,0.265158,33.24,0.634,89.86,361.0,4.0,6078.0,4.346,0.0,1.148,1.064,0.0,37510.0,2.9298,535.1,8.0,0,1,0,0
FALSE POSITIVE,178.44973004,0.0,0.021076,102.89177806760134,0.0851,88.5,1085.3858276274318,141.6,5706.8232800782525,4.438,-0.1,1.0,0.974,0.0,421.1,12.86,23.0,8.0,1,1,0,0
FALSE POSITIVE,2.192004364,0.0,0.500675,37.56,0.0301,80.68,1118.0,369.54,5306.0,4.642,-0.48,0.687,0.765,0.0,99583.0,3.075,298.7,285.0,0,1,0,0
FALSE POSITIVE,3.900109346,0.0,0.381514,40.37,0.047,85.32,1160.0,427.83,5791.0,4.424,-0.18,0.969,0.91,0.0,126190.0,3.9037,448.0,162.0,0,1,0,0
FALSE POSITIVE,1.471060209,0.0,0.519524,165.15,0.0318,74.54,3693.0,43941.18,8749.0,3.806,-0.28,2.911,1.979,0.0,148440.0,4.3708,563.0,235.0,0,1,0,0
FALSE POSITIVE,0.73553763,0.0,0.021076,102.89177806760134,0.0851,88.5,1085.3858276274318,141.6,5706.8232800782525,4.438,-0.1,1.0,0.974,0.0,421.1,2.0,23.0,385.00676798860127,1,1,0,0
FALSE POSITIVE,213.3990406,0.0,0.176124,35.2,0.7882,89.65,468.0,11.32,6960.0,4.069,-0.16,1.83,1.435,0.0,13930.0,6.5043,370.9,7.0,0,1,0,0
FALSE POSITIVE,6.40802979,0.0,0.394488,51.44,0.068,81.85,1157.0,424.01,6261.0,4.293,-0.26,1.194,1.017,0.0,7784.1,2.9288,108.2,15.0,0,1,0,0
CANDIDATE,2.38920105,0.207,0.021076,102.89177806760134,0.0851,88.5,1085.3858276274318,752.42,5706.8232800782525,4.438,-0.1,1.0,0.974,0.0,421.1,3.15,23.0,562.0,0,0,0,0
FALSE POSITIVE,0.962835804,0.0,0.130081,458.02,0.0197,55.39,7100.0,602806.92,3982.0,1.464,0.07,32.244,1.104,0.0,14328.0,4.9844,209.2,1399.0,1,0,0,1
FALSE POSITIVE,4.639602084,0.022,0.153067,19.96,0.052,86.32,1285.0,643.95,6078.0,4.223,-0.56,1.194,0.868,0.0,25079.0,3.4636,131.0,136.0,0,1,0,0
FALSE POSITIVE,2.991885335,0.0,0.042959,3.94,0.0369,54.87,1209.0,505.77,5750.0,4.464,-0.68,0.839,0.747,0.0,1356.9,7.4319,160.2,445.0,0,1,1,1
FALSE POSITIVE,1.327471395,0.0,0.083455,7.08,0.0213,53.88,1395.0,892.4,5232.0,4.519,-0.32,0.777,0.727,0.0,5673.8,5.2334,218.7,861.0,0,1,1,0
FALSE POSITIVE,0.566792595,0.0,0.004114,0.5,0.0132,87.78,2548.0,10020.28,6277.0,4.322,-0.44,1.121,0.961,0.0,19.9,2.637,9.4,2368.0,0,0,1,1
FALSE POSITIVE,1.247156944,0.0,24.662711,26042.9,0.0252,34.03,4120.0,68223.38,4770.0,2.605,-0.24,9.67,1.373,0.0,134760.0,2.6779,92.4,200.0,0,1,0,0
CANDIDATE,288.3128666,0.99,0.099153,13.21,0.846,89.92,300.0,1.93,5672.0,4.252,0.1,1.22,0.969,0.0,11181.0,5.419,96.8,5.0,0,0,0,0
FALSE POSITIVE,2.119100054,0.0,0.291718,34.34,0.0337,29.0,1571.0,1435.29,6292.0,4.426,-0.08,1.078,1.129,0.0,1651.1,8.2163,195.7,507.0,0,1,1,1
FALSE POSITIVE,1.466535757,0.0,0.038383,4.28,0.0246,84.54,1671.0,1849.31,5888.0,4.387,-0.22,1.02,0.924,0.0,1346.4,0.8222,86.1,1825.0,0,1,0,0
FALSE POSITIVE,8.870415578,1.0,0.238656,39.46,0.0807,85.37,1151.0,414.26,6022.0,4.027,-0.62,1.514,0.888,0.0,873.1,1.2864,43.8,72.0,0,1,0,0
FALSE POSITIVE,1.49131759,0.0,0.004751,1.26,0.0279,78.06,2475.0,8873.77,6014.0,3.782,-0.12,2.429,1.303,0.0,25.8,4.721,10.3,903.0,0,0,1,0
CONFIRMED,19.57783279,1.0,0.020303,1.96,0.1409,89.3,621.0,35.14,5620.0,4.533,0.06,0.884,0.971,0.0,432.6,1.9857,37.2,72.0,0,0,0,0
FALSE POSITIVE,3.04476607,0.0,0.175754,15.7,0.0398,23.46,1126.0,379.01,5627.0,4.568,-0.18,0.818,0.91,0.0,272.6,9.568,67.0,448.0,0,1,1,1
CONFIRMED,70.9672087,0.982,0.026365,2.84,0.3392,89.54,438.0,8.66,5818.0,4.464,0.1,0.986,1.032,0.0,784.7,6.9623,69.3,16.0,0,0,0,0
FALSE POSITIVE,4.45543346,0.0,0.473378,51.69,0.0531,87.12,1106.0,354.27,5780.0,4.438,0.0,1.0,1.0,0.0,245680.0,5.116,508.6,353.0,0,1,0,0
FALSE POSITIVE,14.323889947,0.0,0.469972,45.93,0.115,87.3,720.0,63.62,5853.0,4.529,-0.1,0.895,0.99,0.0,69072.0,4.83729,834.3,44.0,0,1,1,0
FALSE POSITIVE,20.427232317,0.0,4.912193,601.32,0.148,86.78,749.0,74.27,6167.0,4.354,-0.12,1.121,1.032,0.0,121810.0,3.46429,526.6,22.0,0,1,0,0
